name;harmonized keywords
0;0
1);1
4;4
15;15
1970;1970
2017;2017
13849;13849
61508;61508
62443;62443
Zero Defect;0 defect
Zero defect manufacturing;0 defect
zero defects;0 defect
ZeroMQ;0 defect manufacturing
ZeroMQ (ZMQ);0 defect manufacturing
Two-additive fuzzy measure;2 additive fuzzy measure
two degrees of freedom movement;2 degrees of freedom movement
2D code;2 dimensional code 
two-layer decision model;2 layer decision model
Two-Sector Prediction Model;2 sector prediction model
Two-tuple linguistic representation;2 tuple linguistic representation
Two-way ANOVA (model);2 way analysis of variance model
Two-Way Ranging;2 way Ranging
2.4 GHZ active technology;2.4 GHZ active technology
2.4GHz;2.4GHz
2.5D machining;2.5 dimension machining
2007 crisis;2007 crisis
21st century teaching and learning;21st century teaching and learning
22MnB5;22MnB6
2524 aluminum alloy;2525 aluminum alloy
2μm program;2μm program 
Three-River Headwaters;3 River Headwater
3-RPS parallel mechanism;3 RPS parallel mechanism
Three-stage DEA;3 stage DEA
STM32;32 bit microcontroller
3D;3D
3-D;3D
Three dimensional;3D
Three-dimensional;3D
3D model acquistition;3D acquisition 
3D Cell Culture;3D cell culture
3D-CAD;3D computer aided design 
3D designing;3D designing
Three-dimensional electronics;3D electronic
3D full-information model;3D full information model
3D GIS;3D geographic information system
I.3.7 [Computer Graphics]: Three-Dimensional Graphics and Realism;3D graphic and realism
I.3.7 [Computer Graphics]: Three-Dimensional Graphics and Realism - Virtual reality;3D graphic and realism virtual reality
3D imaging;3D imaging
3D integral imaging;3D integral imaging
3DIC;3D integrated circuit
stacking IC;3D integrated circuit
Stacking IC;3D integrated circuit
3D Internet;3D internet
3D internet;3D internet
3D laser forming;3D laser forming
3D laser scanning;3D laser scanning
3D machining;3D machining
three-dimensional magnetic field measurement;3D magnetic field measurement
3D digital manufacturing;3D manufacturing
3D manufacturing;3D manufacturing
3-D Manufacturing;3D manufacturing
three-dimensional (3-D) manufacturing;3D manufacturing
3D manufacturing feature model;3D manufacturing feature model
3D Manufacturing Feature Model;3D manufacturing feature model
3D Master;3D master
3D measurement;3D measurement
3D metrology;3D metrology
three-dimensional microfabrication;3D microfabrication
Three dimensional model;3D model
3D modeling;3D modeling
3d motion simulation;3D motion simulation
3D Motion Simulation;3D motion simulation
3D nanofabrication-printing;3D nanofabrication printing
3D numerical model unfolding;3D numerical model unfolding
3-dimensional packing;3D packing
3D PDF;3D pdf 
3D plotting;3D plotting
3D point measurement;3D point measurement
Three dimension print (3DP);3D print 
3D printed drug products;3D printed drug product
3D printed optics;3D printed optic
3D Printer;3D printer
3D printer;3D printer
3D-printer;3D printer
Three Dimensional Printers;3D printer
3D printer manufacturing;3D printer manufacturing
3D additive manufacturing;3D printing
3D assembly process;3D printing
3D calibration;3D printing
3D concrete printing;3D printing
3D printing;3D printing
3D Printing;3D printing
3-D printing;3D printing
3-D Printing;3D printing
3-dimensional printing;3D printing
3DP;3D printing
3DP (Three dimension printing);3D printing
3D-Printing;3D printing
3D-printing;3D printing
Three-dimensional printing;3D printing
Three-dimensional printing (3D printing);3D printing
3D printing/additive manufacturing;3D printing and additive manufacturing
3d printing applications;3D printing application
3D Printing Building;3D printing bulding 
3D‐printing cultural museum;3D printing cultural museum
3D printing development analysis;3D printing development analysis
3D printing technology;3D printing technology
Three-dimensional process;3D process
3D profilometry;3D profilometry
3D reconstruction;3D reconstruction
3D scan;3D scan
3D scanner;3D scanner
3D scanning;3D scanning
3-D scanning;3D scanning
3D sensing;3D sensing
3D-sensors;3D sensor
3D shape measurement;3D shape measurement
3D simulation;3D simulation
3D Simulation;3D simulation
3-D simulation;3D simulation
3-D Simulation;3D simulation
3D-simulation;3D simulation
3D Systems and Janne Kyttanen;3D systems and Janne Kyttanen
3D-via;3D via
3D vision;3D vision
three-dimensional (3-D) vision;3D vision
3D vision measurement;3D vision measurement
3-D Vision Sensor;3D vision sensor
3d Visualization;3D visualization
3Q;3Q 
Third body;3rd body
third industrial revolution;3rd industrial revolution
Third spaces;3rd space
4D Design;4 dimention design
4D printing;4 dimention printing
4e-based industrial Internet of Things;4e based industrial internet of things
4e TSCH;4e time slotted channel hopping
4th industrial revolution;4th industrial revolution
4th Industrial Revolution;4th industrial revolution
4th Revolution Industry;4th industrial revolution
fourth industrial revolution;4th industrial revolution
Fourth industrial revolution;4th industrial revolution
The fourth industrial revolution;4th industrial revolution
The Fourth Industrial Revolution;4th industrial revolution
The Fourth industrial revolution;4th industrial revolution
the fourth Industrial revolution;4th industrial revolution
the fourth industrial revolution;4th industrial revolution
50 % idea;50 % idea
50% idea;50 % idea
5C architecture;5C architecture 
5G;5th generation
5G networks;5th generation network
Fifth-generation (5G) networks;5th generation network
6DoF laser measurement;6 degrees of freedom laser measurement
Six sigma;6 sigma
Six Sigma;6 sigma
six-sigma;6 sigma
Six-sigma;6 sigma
6P;6P 
6th Kondratieff wave;6th Kondratieff wave
7Epsilon;7 Epsilon
HSP70;70 kilodalton heat shock proteins
7th Framework Programme;7th Framework Programme
FP7;7th framework programme
8-axis robot;8 axis robot
868MHz;868MHz
Nine Pillars;9 pillar
a cognitive process - meaningful artifacts through knowledge capture;a cognitive process meaningful artifacts through knowledge capture
A new generation painting system;a new generation painting system
A356–1% SiC Nanocomposites;A356 1% SiC nanocomposite
ability of designers - to acquire;ability of designer to acquire
Ablation;ablation
Ablution tub;ablution tub
Ablution Tub;ablution tub
abnormality/novelty detection;abnormality or novelty detection
Abrasion;abrasion
Abrasives;abrasive
Abrasive tools;abrasive tools
abrasive water jet cutting;abrasive water jet cutting
Abrasive water jet cutting;abrasive water jet cutting
Abrasive water-jet turning;abrasive water jet turning
Abrasivewater-jet turning;abrasive water jet turning
absolute distance measurement;absolute distance measurement
Absolute distance measurement;absolute distance measurement
absolute pose accuracy;absolute pose accuracy
absolute slot number;absolute slot number
Absorption materials;absorption material
Absorptive capacity;absorptive capacity
absorptive capacity;absorptive capacity
Absorptivity;absorptivity
abutment connection;abutment connection
Abutment connection;abutment connection
Academia;academia
Academic Education in Engineering;academic education in engineering
academic publishing;academic publishing
academic study program;academic study program
Accelerated Life Test;accelerated life test
acceleration;acceleration
Accelerometer;accelerometer
Accelerometers;accelerometer
Access control;access control
accessibility;accessibility
Accessibility;accessibility
Accident Management Process;accident management process
accountability;accountability
Accounting for Lean;accounting for lean
accounting in e-business;accounting in  electronic business
Accounting in e-business;accounting in  electronic business
Accuracy;accuracy
Accuracy control;accuracy control
Acoustic emission;acoustic emission
Acoustic emission (AE) sensor;acoustic emission sensor
Acoustic emission sensor;acoustic emission sensor
acoustic localization;acoustic localization
Acquisition process;acquisition process
Acrylonitrile butadiene styrene;acrylonitrile butadiene styrene
acrylonitrile butadiene styrene polylactic acid;acrylonitrile butadiene styrene polylactic acid
action based learning;action based learning
action regulation;action regulation
active and adaptive optics;active and adaptive optic
Active Component Traceability;active component traceability
active flow control;active flow control
active learning;active learning
Active Learning;active learning
Active perception;active perception
Active process planning optimization;active process planning optimization
Activity;activity
Activity based costing;activity based costing
activity-based costing;activity based costing
Activity-Based Costing;activity based costing
Activity-based costing (ABC);activity based costing
ABC Success;activity based costing success
Activity extraction;activity extraction
Activity model;activity model
Activity recognition;activity recognition
Activity system;activity system
Activity theory;activity theory
Actor;actor
Actor network theory;actor network theory
acts of framing;acts of framing
actuation;actuation
Actuator;actuator
actuator;actuator
Actuators;actuator
actuators;actuator
Ad hoc field device integration;ad hoc field device integration
ADA;ADA
Adaboost;adaboost
adaptability;adaptability
Adaptability;adaptability
Adaptable;adaptable
Adaptable optimal mechanism;adaptable optimal mechanism
Adaptable Optimal Mechanism;adaptable optimal mechanism
Adaptable Production;adaptable production
Adaptation;adaptation
adaptation;adaptation
Adaptation models;adaptation model
Adaptation strategies;adaptation strategie
adaption analysis;adaption analysis
adaption intelligence;adaption intelligence
Adaptive;adaptive
adaptive;adaptive
adaptive and proactive performance;adaptive and proactive performance
Adaptive automation;adaptive automation
Adaptive Capability;adaptive capability
Adaptive control;adaptive control
adaptive control;adaptive control
adaptive control system;adaptive control system
adaptive distributed systems;adaptive distributed system
adaptive formwork;adaptive formwork
Adaptive formwork;adaptive formwork
adaptive learning;adaptive learning
Adaptive Learning Systems;adaptive learning system
Adaptive manufacturing;adaptive manufacturing
Adaptive Manufacturing;adaptive manufacturing
Adaptive manufacturing systems;adaptive manufacturing system
Anfis;adaptive neuro fuzzy inference system
ANFIS;adaptive neuro fuzzy inference system
adaptive-PSO;adaptive particle swarm optimization
Adaptive Production.;adaptive production
Adaptive production planning;adaptive production planning
