paperID,authors,title,keywords
1,"Marongiu, Giovanni;
Giulia, Bruno;
Franco, Lombardi",Development of a human-centric knowledge management framework through the integration between PLM and MES,"PLM, MES, Industry 4.0, Knowledge Management, Human-centric production"
2,"ORUKELE, Oghenemarho (1);
POLETTE, Arnaud (1);
GONZALEZ LORENZO, Aldo (2);
MARI, Jean-Luc (2);
PERNOT, Jean-Philippe (1)",A data structure for developing data-driven digital twins,"Digital and physical twin, data structure, digital coherence"
3,"Attari Shendi, Milad (1);
Thomson, Vincent (1);
Wang, Haoqi (2);
Lou, Gaopeng (2)",Benefits of Digital Twin Applications used to Study Product Design and Development Processes,"Digital Twin, Product Design, Product Development, Digital Twin Benefits"
4,"choi, hyekyung (1);
lee, whan (1);
Sajadieh, seyed mohammad mehdi (1);
Noh, Sang Do (1);
Son, Hyun Sik Son (2);
Sim, Seung bum (3)",Machining learning algorithms for process optimization and quality prediction of spinning in textile industries,"smart manufacturing, data-driven prediction, textile industry, spinning pro-cess."
5,"Massot, Simon (1,2);
Luu, Duc-Nam (1);
Maier, Claus-Jürgen (3);
Maranzana, Nicolas (1);
Aoussat, Améziane (1)",How to foster the Circular Economy within the Pharmaceutical Industry? A research framework proposition,"Circular Economy, Pharmaceutical Industry, Design Process, Lifecycle"
6,"Acerbi, Federica (1);
Pranzo, Andrea (2);
Sanna, Cristina (2);
Spaltini, Marco (1);
Taisch, Marco (1)",Towards zero-defect manufacturing in the silicon wafer production through calibration: an Italian case,"Silicon Wafer, Mechanical Parameters, Bow/Warp Calibration, Zero Defect Manufacturing, Waste Management"
7,"Spaltini, Marco;
Acerbi, Federica;
De Carolis, Anna;
Taisch, Marco","Integrating Processes, People and Data Management to Create a Comprehensive Roadmap Toward SMEs Digitalization: an Italian Case Study","Manufacturing, Maturity Models, Resource Management"
8,"Beducci, Elena;
Acerbi, Federica;
Spaltini, Marco;
De Carolis, Anna;
Taisch, Marco",Development of a multi-plant cross-function roadmapping tool: an industrial case in Food&Beverage sector,"Food & Beverage, Manufacturing, Digital Transition Roadmapping, Industry 4.0, Assessment"
9,"Schmid, Daniel",Design And Release Process For Additive Manufacturing Parts,"Release Process, Change Management, Additive Manufacturing, Product Lifecycle Management, Design for Manufacturing"
10,"do Prado, Márcio Leandro (1,2);
Seelent, João Felipe Capioto (1);
Reynoso-Meza, Gilberto (1);
Benitez, Guilherme Brittes (1)",A multicriteria framework proposition for project management approaches,"Project Management, Hybrid Approach, Technology"
11,"Cardoso, Ana Maria Kaiser;
Robell, Pedro da Rocha Loures;
Canciglieri Junior, Osíris;
Benitez, Guilherme Brittes",Understanding service design in the context of servitization,"Service Design, Servitization, Services"
12,"Goncalves, Marcelo (1);
Hamasaki, Katuzi (2);
Dias, Izamara (1);
Nara, Elpidio (1);
Canciglieri Junior, Osiris (1)",OPTIMIZATION OF THE OPERATION MANAGEMENT PROCESS OF A COMPANY IN THE ELECTRONIC MANUFACTURING SECTOR,"Linear Programming, Robust Optimization, Operations Management."
13,"Proulx, Mélick (1);
Gardoni, Mickaël (1,2)",How to support knowledge exchange in a multi-division manufacturing firm?,"Knowledge exchange, Open Innovation, Collaboration, SME"
14,"Kuismanen, Olli Kristian;
Menon, Karan;
Kärkkäinen, Hannu",Drivers of change impacting outcome-based business models in industrial production equipment,"Outcome-based PSS, outcome-based contracting, Product-Service Systems, industrial production equipment, Drivers of Change"
15,"Rolf, Julian;
Wolf, Mario;
Gerhard, Detlef",Investigation of an integrated synthetic dataset genera-tion workflow for computer vision applications,"deep learning, synthetic data generation, PLM integration, object detection, computer vision"
16,"VANSON, Gautier (1,2);
MARANGE, Pascale (1,2);
LEVRAT, Eric (1,2)",A technical and systematic characterization of circular strategy processes,"Circular Economy, Circular Strategy, Product regeneration, Holistic approach, Requirement, characterization"
17,"Sassanelli, Claudio (1);
Borzi, Giovanni (2);
Quadrini, Walter (3);
De Marco, Giuseppe (4);
Mossa, Giorgio (1);
Terzi, Sergio (3)",A quality-oriented decision support framework: cyber-physical systems and model-based design to develop Design for Additive Manufacturing features,"metal additive manufacturing, model-based design, design guideline, cyber-physical systems, digital innovation hub"
19,"Miroite, Pierre;
Gardoni, Mickaël",Gamification as a knowledge management tool,"Knowledge management, Gamification, Collaboration"
