(GPS) Geometrical Product Specification,geometrical product specification
3-Layer Model (3LM),3 layer model
3-Layers Model (3LM),3 layer model
3-Layers Model (3LM),3 layer model
3D annotations,3D annotation
3D body scan data,3D body scan data
3D CAD,3D computer aided design
3D CAD model retrieval,3D computer aided design model retrieval
3D computer aided design,3D computer aided design
3D Content Based Retrieval,3D content based retrieval
3D digital model,3D digital model
3D Digitization,3D digitization
3D industrial inspection,3D industrial inspection
3D information model,3D information model
3D interface,3D interface
3D interfaces,3D interface
3D layout,3D layout
3D mock-up,3D mockup
3D mockup,3D mockup
3D model-based platform,3D model based platform
3D modeling,3D modeling
3D modelling,3D modeling
3D Plant Layout,3D plant layout
3D printer,3D printer
3D printing,3D printing
3D product model,3D product model
3D reconstruction,3D reconstruction
3D scanning,3D scanning
3D Search,3D search
3D Target,3D target
3D viewing,3D viewing
3D visualization,3D visualization
3D-Viewing,3D viewing
3DExperience,3DEXPERIENCE
3DVP,3D virtual prototyping
4D Printing,4D printing
4th industrial revolution,4th industrial revolution
6R concept,6R concept
A320 aircraft,A320 aircraft
ABC,activity based costing
Abnormal events management,abnormal event management
Abrasive processes,abrasive process
ABS,acrylonitrile butadien styrene
abstraction level,abstraction level
Access Control,access control
Access control,access control
accessibility,accessibility
acidification,acidification
acoustic FSI,acoustic fluid solid interaction
action (IBCA) structure,initiative behavior context and action structure
action research,action research
action-research,action research
Active ACM,active asset configuration management
active knowledge driven complex model,active knowledge driven complex model
active knowledge for product feature generation,active knowledge for product feature generation
active knowledge in product model,active knowledge in product model
active pharmaceutical ingredient (API),active pharmaceutical ingredient
active product,active product
activities,activity
activity based costing,activity based costing
Activity recording,activity recording
activity-based costing,activity based costing
actor viewpoints,actor viewpoint
Actual Production Cost,actual production cost
Adaptable Products,adaptable product
adaptation,adaptation
Adapting products to elderly,adapting products to elderly
adaptive product definition,adaptive product definition
adaptive product development,adaptive product development
adaptive product model,adaptive product model
adaptive slicing,adaptive slicing
adaptive workflow,adaptive workflow
Additive manufacturing,additive manufacturing
Additive manufacturing technology,additive manufacturing technology
Additive Manufacturing technology,additive manufacturing technology
administrative policy,administrative policy
advance manufacturing,advance manufacturing
advanced computer system,advanced computer system
advanced configuration management II standard,advanced configuration management standard
advanced product definition automation methods,advanced product definition automation method
Advanced product quality planning,advanced product quality planning
AEC,architecture engineering and construction
AEC industry,architecture engineering and construction
Aero engines,aero engine
Aero-engines,aero engine
aeronautical,aeronautical
aeronautical final assembly line conceptual design,aeronautical final assembly line conceptual design
Aeronautical industry,aeronautical industry
Aeronautical Tool,aeronautical tool
Aerospace,aerospace
Aerospace & Defence case study,aerospace & defence case study
aerospace industry,aerospace industry
Aerospace manufacturing,aerospace manufacturing
Aerospace Product,aerospace product
After sales service,after sales service
After-sales logistics,after sales logistics
after-sales service,after sales service
after-sales strategies,after sales strategy
after-sales strategy,after sales strategy
Agency,agency
agent,agent
agent academy,agent academy
agent based simulation modelling,agent based simulation modeling
agent based system,agent based system
Agent technology,agent technology
Agent-based,agent based
Agent-based simulation modeling,agent based simulation modeling
agent-based systems,agent based system
Agent-based systems,agent based system
Aggregation,aggregation
Agile,agile
Agile approach,agile approach
agile design methods,agile design method
agile management,agile management
Agile manufacturing system,agile manufacturing system
agile method,agile method
Agile methods,agile method
Agile PLM,agile product lifecycle management
Agile product development,agile product development
agility,agility
agricultural machinery,agricultural machinery
AHP,analytic hierarchy process
AHP methodology,analytic hierarchy process methodology
AI,artificial intelligence
AI-Planning,artificial intelligence planning
AIDC,automated identification and data capture
air pollution,air pollution
aircraft components,aircraft component
aircraft development,aircraft development
aircraft maintenance,aircraft maintenance
Aircraft ontology,aircraft ontology
AIRE,AREVA interoperability rich environment
AIS,automatic identification system
ALE,ALE
Algorithm- Based,algorithm based
algorithms,algorithm
alignment,alignment
ALM,application lifecycle management
Ambidexterity,ambidexterity
Ambient Intelligence,ambient intelligence
ambiguous terms,ambiguous term
Analogy,analogy
analyses,analysis
analysis,analysis
Analysis framework,analysis framework
analysis of product behaviour,analysis of product behavior
analysis phase,analysis phase
Analysis tools,analysis tools
Analytic network process,analytic network process
analytic network process,analytic network process
Analytic network process (ANP),analytic network process
Analytical evaluation of mechanical parts,analytical evaluation of mechanical part
analytical network process,analytic network process
Analytical Network Process (ANP),analytic network process
Analytics,analytics
Ancient Grain,ancient grain
ANN,artificial neural network
Annotated 3D model,annotated 3D model
annotation,annotation
Annular notched shaft,annular notched shaft
annularly breached bar,annularly breached bar
annularly breached spindle,annularly breached spindle
Anomaly detection,anomaly detection
ANP,analytic network process
anthropometry,anthropometry
Anti-fatigue design,anti fatigue design
anti-fatigued,anti fatigued
anti-fractured design,anti fractured design
AP233,STEP AP233
API,****
apparel industry,apparel industry
apparelapparel,apparel
Application,application
application integration,application integration
Application interoperability,application interoperability
application lifecycle management,application lifecycle management
Application Lifecycle Management (ALM),application lifecycle management
Application view,application view
application-layer multicasting,application layer multicasting
Applications,application
applied probability,applied probability
ArcGIS,ARCGIS
Archetype,archetype
