Conference Name;Corrected Conference Names;TRIMED Names
International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management
CIRP Conference on Assembly Technologies and Systems;CIRP Conference on Assembly Technologies and Systems;CIRP Conference on Assembly Technologies and Systems
22nd CIRP Conference on Life Cycle Engineering;CIRP Conference on Life Cycle Engineering;CIRP Conference on Life Cycle Engineering
CIRP Conference on Life Cycle Engineering;CIRP Conference on Life Cycle Engineering;CIRP Conference on Life Cycle Engineering
International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management
PLM and Collaborative Product Development;PLM and Collaborative Product Development;PLM and Collaborative Product Development
International Conference on Product Lifecycle ManagementInternational Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management
CIRP Conference on Manufacturing Systems;CIRP Conference on Manufacturing Systems ;CIRP Conference on Manufacturing Systems
7th IFAC Conference on Manufacturing Modelling, Management, and Control;IFAC Conference on Manufacturing Modelling, Management, and Control;IFAC Conference on Manufacturing Modelling, Management, and Control
IFAC Conference on Manufacturing Modelling, Management, and Control;IFAC Conference on Manufacturing Modelling, Management, and Control;IFAC Conference on Manufacturing Modelling, Management, and Control
14th IFAC Symposium on Information Control Problems in Manufacturing;IFAC Symposium on Information Control Problems in Manufacturing;IFAC Symposium on Information Control Problems in Manufacturing
8th International Conference Interdisciplinarity in Engineering;International Conference Interdisciplinarity in Engineering;International Conference Interdisciplinarity in Engineering
International Conference on Oil and Gas Engineering;International Conference on Oil and Gas Engineering;International Conference on Oil and Gas Engineering
3rd International Conference on System-integrated Intelligence;International Conference on System-integrated Intelligence;International Conference on System-integrated Intelligence
8th International Conference on Digital Enterprise Technology;International Conference on Digital Enterprise Technology;International Conference on Digital Enterprise Technology
IFIP International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management;International Conference on Product Lifecycle Management
47th CIRP Conference on Manufacturing Systems;CIRP Conference on Manufacturing Systems;CIRP Conference on Manufacturing Systems
PLM and Influence of/from Social Networks;PLM and Influence of/from Social Networks;PLM and Influence of/from Social Networks
IFAC Symposium on Information Control Problems in Manufacturing;IFAC Symposium on Information Control Problems in Manufacturing;IFAC Symposium on Information Control Problems in Manufacturing
45th CIRP Conference on Manufacturing Systems;CIRP Conference on Manufacturing Systems;CIRP Conference on Manufacturing Systems
International Conference on Through-life Engineering Services;International Conference on Through-life Engineering Services;International Conference on Through-life Engineering Services
International Conference on Advances in Production Management Systems;International Conference on Advances in Production Management Systems;International Conference on Advances in Production Management Systems
IFAC World Congress;IFAC World Congress;IFAC World Congress
International Conference on System-integrated Intelligence;International Conference on System-integrated Intelligence;International Conference on System-integrated Intelligence
IFAC Conference on Manufacturing Modelling, Management and Control;IFAC Conference on Manufacturing Modelling, Management and Control;IFAC Conference on Manufacturing Modelling, Management and Control
IFAC Workshop on Intelligent Manufacturing Systems;IFAC Workshop on Intelligent Manufacturing Systems;IFAC Workshop on Intelligent Manufacturing Systems
6th Manufacturing Engineering Society International Conference;Manufacturing Engineering Society International Conference;Manufacturing Engineering Society International Conference
24th CIRP Design Conference;CIRP Design Conference;CIRP Design Conference
International Conference Advances in Production Management Systems;International Conference Advances in Production Management Systems;International Conference Advances in Production Management Systems
Conference on ENTERprise Information Systems - International Conference on Project MANagement - International Conference on Health and Social Care Information Systems and Technologies;Conference on Enterprise Information Systems;Conference on Enterprise Information Systems
International Conference “Modern Building Materials, Structures and Techniques”;International Conference “Modern Building Materials, Structures and Techniques”;International Conference “Modern Building Materials, Structures and Techniques”
IFAC Workshop on Advanced Maintenance Engineering, Services and Technology;IFAC Workshop on Advanced Maintenance Engineering, Services and Technology;IFAC Workshop on Advanced Maintenance Engineering, Services and Technology
2nd IFAC Workshop on Advanced Maintenance Engineering, Services and Technology;IFAC Workshop on Advanced Maintenance Engineering, Services and Technology;IFAC Workshop on Advanced Maintenance Engineering, Services and Technology
Conference on Intelligent Computation in Manufacturing Engineering;Conference on Intelligent Computation in Manufacturing Engineering;Conference on Intelligent Computation in Manufacturing Engineering
Design Conference Innovative Product Creation;Design Conference Innovative Product Creation;Design Conference Innovative Product Creation
I*PROMS Virtual International Conference;I*PROMS Virtual International Conference;I*PROMS Virtual International Conference
IFAC Conference on Manufacturing Modelling, Management, and Contro;IFAC Conference on Manufacturing Modelling, Management and Control;IFAC Conference on Manufacturing Modelling, Management and Control
IFAC Workshop on Intelligent Assembly and Disassembly;IFAC Workshop on Intelligent Assembly and Disassembly;IFAC Workshop on Intelligent Assembly and Disassembly
IFAC Conference on Cost Effective Automation in Networked Product Development and Manufacturing;IFAC Conference on Cost Effective Automation in Networked Product Development and Manufacturing;IFAC Conference on Cost Effective Automation in Networked Product Development and Manufacturing
ETRIA World TRIZ Future Conference;ETRIA World TRIZ Future Conference;ETRIA World TRIZ Future Conference
Conference on Structural Engineering and Construction;Conference on Structural Engineering and Construction;Conference on Structural Engineering and Construction
IFAC Symposium on Automated Systems Based on Human Skill and Knowledge;IFAC Symposium on Automated Systems Based on Human Skill and Knowledge;IFAC Symposium on Automated Systems Based on Human Skill and Knowledge
Global Conference on Sustainable Manufacturing;Global Conference on Sustainable Manufacturing;Global Conference on Sustainable Manufacturing
Modelling of Mechanical and Mechatronic Systems;Modelling of Mechanical and Mechatronic Systems;Modelling of Mechanical and Mechatronic Systems
Symposium on Solid and Physical Modeling;Symposium on Solid and Physical Modeling;Symposium on Solid and Physical Modeling
International Conference  on Emerging eLearning Technologies and Applications;International Conference on Emerging eLearning Technologies and Applications;International Conference on Emerging eLearning Technologies and Applications
International Conference on Conceptual Modeling;International Conference on Conceptual Modeling;International Conference on Conceptual Modeling
International Conference  on Computational Cybernetics;International Conference on Computational Cybernetics;International Conference on Computational Cybernetics
