Conference Name;Corrected Conference Names;Comments;;Nb;Acronym;
ACM Symposium on Solid and Physical Modeling;ACM Symposium on Solid and Physical Modeling;;;1;;
ASME Biennial Conference on Engineering Systems Design and Analysis;ASME Biennial Conference on Engineering Systems Design and Analysis;;;1;ESDA;
ASME International Design Engineering Technical Conference/Computers and Information in Engineering Conference;ASME International Design Engineering Technical Conferences and Computers and Information in Engineering Conference;;;6;;
Advanced Production Management Systems Conference;Advanced Production Management Systems Conference;;;1;;
Annual Conference of the IEEE Industrial-Electronics-Society;Annual Conference of The IEEE Industrial Electronics Society;;;1;;
Annual Frontiers in EducationConference;IEEE Frontiers in Education Conference(FIE);;;1;;
Annual SEMI Advanced Semiconductor Manufacturing Conference;Annual SEMI Advanced Semiconductor Manufacturing Conference;;;1;ASMC;
CIRP Design Conference;CIRP Design Conference;;;10;;
CIRP Design Seminar;CIRP Design Seminar;;;2;;
CIRP Global Web Conference;CIRP Global Web Conference;;;1;;
CIRP Industrial Product-Service Systems Conference;CIRP Conference on Industrial Product-Service Systems ;;;1;;
CIRP Intelligent Computation in Manufacturing Engineering Conference;CIRP Conference on Intelligent Computation in Manufacturing Engineering ;;;1;ICME;
CIRP Life Cycle Engineering Conference;CIRP Conference on Life Cycle Engineering ;;;11;;
CIRP Manufacturing Systems Conference;CIRP Conference on Manufacturing Systems ;;;4;;
Chinese Control and Decision Conference;Chinese Control and Decision Conference;;;2;;
Conference of the Portland International Center for Management of Engineering and Technology;Conference : Portland International Center for Management of Engineering and Technology ;;;1;PICMET;
Conference on Current Developments in Lens Design and Optical Engineering;Conference on Current Developments in Lens Design and Optical Engineering;;;1;;
Conference on Electronic Commerce, Web Application and Communication;International Conference on Electronic Commerce, Web Application and Communication;;;1;;
Conference on Engineering Reality of Virtual Reality;Conference : The Engineering Reality of Virtual Reality;;;1;;
Conference on Enterprise Information Systems;Conference on Enterprise Information Systems;;;1;;
Conference on Informatics in Higher Education;InternationalÊConferenceÊon Information Technology Based HigherÊEducationÊand Training;;;1;;
Conference on Knowledge Enterprise;International Conference on Knowledge, Innovation and Enterprise;;;1;;
Conference on Manufacturing Systems;International Conference on Manufacturing Systems and Technology of the Future;;;1;;
Conference on enterprise Information Systems;Conference on Enterprise Information Systems;This Conference is the same as that of the line 21;;1;;http://centeris.eiswatch.org/?page=welcome
European Concurrent Engineering Conference;European Concurrent Engineering Conference;;;2;;
European Conference on Knowledge Management;European Conference on Knowledge Management;;;1;;
European Conference on Product and Process Modelling;European Conference on Product and Process Modelling;;;1;;
European Conference on Software Process Improvement;European Conference on Software Process Improvement;;;1;;
European Symposium on Computer Aided Process Engineering;European Symposium on Computer Aided Process Engineering;;;2;;
Global Congress on Manufacturing and Management;Global Congress on Manufacturing and Management;;;1;;
IEEE Asia-Pacific Services Computing Conference;IEEE Asia-Pacific Services Computing Conference;;;1;;
