Name;Name (normalized)
112 Reus building;112 reus building
Nineteenth and twentieth century;19th and 20th century
2-Tuple linguistic representation;2 tuple linguistic representation
2012 convention;2012 convention
21st-century imperative;21st century imperative
2D;2D
2D CAD;2D CAD
2D design technology;2D design technology
2D drafting;2D drafting
two-dimensional drawings;2D drawing
Two-dimensional isometric drawings;2D isometric drawing
2d paper based working;2D paper based working
2D plans;2D plan
three dimensional;3D
3D;3D
Three-dimensional (3D);3D
Three dimensional (3D);3D
3D Analysis;3D analysis
3D/4D Parametric Modeling;3D and 4D parametric modeling
3-D and 4-D parametric modeling;3D and 4D parametric modeling
3D as-built;3D as built
3D BIM;3D BIM
3D building information model;3D building information model
3D cadastral data model;3D cadastral data model
3DCDM;3D cadastral data model
3D cadastre;3D cadastre
3D-city- and building-models (CityGML/BIM IFC, GIS);3D city and building model
3D city modeling;3D city modeling
three-dimensional computer-aided design;3D computer aided design
3D CAD;3D CAD
3DCAD;3D CAD
3D-CAD;3D CAD
3-D computer models;3D computer model
3D coordination;3D coordination
3D data;3D data
3D data processing;3D data processing
3D Data Processing;3D data processing
3D design;3D design
3D GIS;3D geographic information system
3D geographical information;3D geographical information
Three-dimensional geological modeling;3D geological modeling
3D geometric drawing;3D geometric drawing
Three-dimensional (3D) imaging;3D imaging
3D interior model;3D interior model
Three-dimensional (3D) laser scanner;3D laser scanner
3D laser scanning;3D laser scanning
3D laserscanning;3D laser scanning
three-dimensional model;3D model
Three-dimensional models;3D model
3D model;3D model
Three-dimensional (3D) models;3D model
3D models;3D model
3D-model-based knowledge representation;3D model based knowledge representation
3D models classification;3D model classification
3D model classification;3D model classification
3D model exchange;3D model exchange
3D modeling;3D modeling
3D Modeling;3D modeling
3D modelling;3D modeling
3D Modelling;3D modeling
3D modeling and rendering;3D modeling and rendering
3D object models;3D object model
3D parametric model;3D parametric model
3D parametric modelling;3D parametric modeling
3D point cloud models;3D point cloud model
3D printing;3D printing
3D range point clouds;3D range point cloud
3D reconstruction;3D reconstruction
3D recording;3D recording
3D simulation;3D simulation
3D software;3D software
3D-statics;3D static
3D tools;3D tool
3D underground cadastral system;3D underground cadastral system
3D visualization;3D visualization
3-D visualization;3D visualization
3D web-browser;3D web browser
Three-dimensional (3D) wireframe;3D wireframe
3D workspace representation;3D workpace representation
3Dmax;3Dmax
4D;4D
Four-dimensional (4D);4D
4-D;4D
Four-dimensional;4D
4D BIM;4D BIM
4D building information model;4D building information modeling
4D CAD;4D CAD
Four-dimensional (4D) computer-aided development (CAD);4D computer aided development 
4D model;4D model
4D models;4D model
4-D modeling;4D modeling
4D modelling;4D modeling
4D simulation;4D simulation
4-D technology;4D technology
4D technology;4D technology
four-dimensional (4D) technology;4D technology
4D visualisation;4D visualization
5D;5D
Five-dimensional;5D
5D BIM;5D BIM
5d BIM;5D BIM
5D CAD;5D CAD
6D CAD;6D CAD
Abbreviations BIM building information modeling;abbreviation building information modeling
Abstraction;abstraction
ACBIM;ACBIM
Acceptance;acceptance
Access control;access control
access control;access control
Accessibility checking;accessibility checking
Accidents, injuries, and fatalities;accident injury and fatality
accountability;accountability
Action compatibility;action compatibility
Action condition;action condition
Action feature;action feature
Action research;action research
Active building information modeling (BIM);active building information modeling
Active-Learning;active learning
Activity analysis;activity analysis
Activity sequence;activity sequence
Activity Theory;activity theory
Activity theory;activity theory
Actor network theory;actor network theory
Actual travel paths;actual travel path
aIB;adaptive load balancing
Additive manufacturing;additive manufacturing
Adjacent structure;adjacent structure
Adoption;adoption
adoption;adoption
Advanced energy design guides;advanced energy design guide
Advanced work packaging;advanced work packaging
Advantages;advantage
