Acronym;Description;Normalized description;PublicationID;Comments
3DVP;three dimensional virtual prototyping;3D virtual prototyping;
ABC;activity based costing;activity based costing;
ABS;acrylonitrile butadien styrene;acrylonitrile butadien styrene;
ACM;asset configuration management;asset configuration management;
Active ACM;active asset configuration management;active asset configuration management;
AF;Assembly feature;assembly feature;
AHP;Analytical Hierarchy Process;analytic hierarchy process ;
AI;Artificial intelligence;artifial intelligence;
AIDC;automated identification and data capture;automated identification data capture;Acronym defined  in keyword through 2 keywords: automated identification and data capture
AIRE;AREVA Interoperabilty Rich Environment  ;areva interoperability rich environment;Other description in the same publication: AREVA IRING Environmen
ALM;application lifecycle management;application lifecycle management;*;Common description
ALM;application-layer multicasting;application layer multicasting;161;
ALM;Asset Lifecycle Management;asset lifecycle management;688;
AM;Asset management;asset management;
ANN;artificial neural networks;artificial neural network;
ANP;analytic network process ;analytic network process;
AP233;AP233;AP233;STEP data exchange standard
API;Assembly Process Information;assembly process information;776;
API;Application Programming Interface;application programming interface;*;Common description
API;active pharmaceutical ingredient;active pharmaceutical ingredient;2233;
APS;Automated Production System;automated production system;
ARINC 672;ARINC 672;ARINC 673;Standard ?
ARIS;Architecture of Integrated Information Systems;ARIS;Platform name
ASME;American Society of Mechanical Engineers ;ASME;Organization name (American Societey of Mechnaical Engineering)
ATHENA;ATHENA;ATHENA;Project name
ATL;ATLAS Transformation Language;ATL;Computer language name
ATO;Assemble-to-order;assemble to order;
AudrosBOX;AudrosBox;AUDROSBOX;Software application name
automation API;automation API;AUTOMATION API;Microsoft platform name
B/S mode;B/S MODE;B/S MODE;unknown acronym
B2B;Business to business;business to business;
BIM;Building Information Management;building information management;
BMI;bio-medical imaging;biomedical imaging;
BOL;Beginning of life;beginning of life;
BOM;Bill of material ;bill of materials;
BPM;Business process management;business process management;
BPM;Business process model;not used;
BPMN;Business process management notation;business process management notation;
BPR;Business process reengineering;business process reengineering;
BTOPP;Benefit-Tools-Organization-Process-People;benefit tools organization process people;
C-K theory;concept-knowledge theory;concept knowledge theory;
C-L PLM;Closed-Loop Product Lifecycle Management;closed loop product lifecycle management;
C-PLM;Construction Project Lifecycle Management;construction project lifecycle management;
CAD;Computer-aided design;computer aided design;
