countryID;key;name;long *http://www.latlong.net/;lat  *http://www.latlong.net/
1;COUNTRY_ALGERIA;Algeria;1.659626;28.033886
2;COUNTRY_ARGENTINA;Argentina;-63.616672;-38.416097
3;COUNTRY_AUSTRALIA;Australia;133.775136;-25.274398
4;COUNTRY_AUSTRIA;Austria;14.550072;47.516231
5;COUNTRY_BELGIUM;Belgium;4.469936;50.503887
6;COUNTRY_BRAZIL;Brazil;-51.92528;-14.235004
7;COUNTRY_CANADA;Canada;-106.346771;56.130366
8;COUNTRY_CHINA;China;104.195397;35.86166
9;COUNTRY_COLOMBIA;Colombia;-74.297333;4.570868
10;COUNTRY_COSTA-RICA;Costa Rica;-83.753428;9.748917
11;COUNTRY_CRETE;Crete;24.809269;35.240117
12;COUNTRY_CROATIA;Croatia;15.2;45.1
13;COUNTRY_CZECH;Czech;15.472962;49.817492
14;COUNTRY_DENMARK;Denmark;9.501785;56.26392
15;country_Estonia;Estonia;25.013607;58.595272
16;COUNTRY_FINLAND;Finland;25.748151;61.92411
17;COUNTRY_FRANCE;France;2.213749;46.227638
18;COUNTRY_GERMANY;Germany;10.451526;51.165691
19;COUNTRY_GREECE;Greece;21.824312;39.074208
20;COUNTRY_HONG-KONG;Hong Kong;114.109497;22.396428
21;COUNTRY_HUNGARY;Hungary;19.503304;47.162494
22;COUNTRY_INDIA;India;78.96288;20.593684
23;COUNTRY_IRAN;Iran;53.688046;32.427908
24;COUNTRY_IRELAND;Ireland;-8.24389;53.41291
25;COUNTRY_ISRAEL;Israel;34.851612;31.046051
26;COUNTRY_ITALY;Italy;12.56738;41.87194
27;COUNTRY_JAPAN;Japan;138.252924;36.204824
28;COUNTRY_KENYA;Kenya;37.906193;-0.023559
29;COUNTRY_KOREA;Korea;127.978458;37.663998
30;COUNTRY_KUWAIT;Kuwait;47.481766;29.31166
31;COUNTRY_LEBANON;Lebanon;35.862285;33.854721
32;COUNTRY_LITHUANIA;Lithuania;23.881275;55.169438
33;COUNTRY_MALAYSIA;Malaysia;101.975766;4.210484
34;COUNTRY_MEXICO;Mexico;-102.552784;23.634501
35;COUNTRY_MOROCCO;Morocco;-7.09262;31.791702
36;COUNTRY_NETHERLANDS;Netherlands;5.291266;52.132633
37;COUNTRY_NEW-ZEALAND;New Zealand;174.885971;-40.900557
38;COUNTRY_NIGERIA;Nigeria;8.675277;9.081999
39;COUNTRY_NORWAY;Norway;8.468946;60.472024
40;COUNTRY_POLAND;Poland;19.145136;51.919438
41;COUNTRY_PORTUGAL;Portugal;-8.224454;39.399872
42;COUNTRY_ROMANIA;Romania;24.96676;45.943161
43;COUNTRY_RUSSIA;Russia;105.318756;61.52401
44;COUNTRY_SAUDI_ARABIA;Saudi Arabia;45.079162;23.885942
45;COUNTRY_SERBIA;Serbia;21.00585;44.016521
46;COUNTRY_SINGAPORE;Singapore;103.819836;1.352083
47;COUNTRY_SLOVAKIA;Slovakia;19.699024;48.669026
48;COUNTRY_SLOVENIA;Slovenia;14.995463;46.151241
49;COUNTRY_SOUTH-AFRICA;Sourth Africa;22.937506;-30.559482
50;COUNTRY_SPAIN;Spain;-3.74922;40.463667
51;COUNTRY_SWEDEN;Sweden;18.643501;60.128161
52;COUNTRY_SWITZERLAND;Switzerland;8.227512;46.818188
53;COUNTRY_TAIWAN;Taiwan;120.960515;23.69781
54;COUNTRY_THAILAND;Thailand;100.992541;15.870032
55;COUNTRY_TUNISIA;Tunisia;9.537499;33.886917
56;COUNTRY_TURKEY;Turkey;35.243322;38.963745
57;COUNTRY_UK;Uk;-3.435973;55.378051
58;COUNTRY_USA;Usa;-95.712891;37.09024
59;COUNTRY_VENEZUELA;Venezuela;-66.58973;6.42375
