TagID;Keyword;Count;Nomalized Keyword;Topic/Domain;Business Area;Comments
3695;3D body scan data;1;3D body scan data;;;
5256;3D Content Based Retrieval;1;3D content based retrieval;;;
18487;3D digital model;1;3D digital model;;;
3696;3D Digitization;1;3D digitization;;;
4483;3D industrial inspection;1;3D industrial inspection;;;
3823;3D information model;1;3D information model;;;
3698;3D interfaces;2;3D interface;;;
5440;3D mock-up;1;3D mockup;;;
3700;3D modelling;2;3D modeling;;;
4148;3D Plant Layout;1;3D pant layout;;;
19014;3D product model;1;3D product model;;;
4578;3D scanning;1;3D scanning;;;
5257;3D Search;1;3D search;;;
4202;3D Target;1;3D target;;;
4486;3D visualization;1;3D visualization;;;
4209;3D-Viewing;1;3D viewing;;;
19086;3DExperience;1;3D experience;;;
3707;3DVP;1;3D virtual prototyping;;;Realistic and representative humanoids for virtual prototyping
3708;ABC;1;activity based costing;;;An intelligent system for estimating full product Life Cycle Cost at the early design stage
3999;Abnormal events management;1;abnormal event management;;;
4256;Abrasive processes;1;abrasive process;;;
4667;ABS;1;acrylonitrile butadien styrene;;;Acronym: acrylonitrile butadiene styrene
4618;abstraction level;1;abstraction level;;;
4971;Access Control;2;access control;;;
5446;accessibility;2;accessibility;;;
5447;acidification;1;acidification;;;
4094;action research;1;action research;;;
18558;action-research;1;action research;;;
5411;Active ACM;1;active asset configuration management;;;
18653;active knowledge for product feature generation;1;active knowledge for product feature generation;Active Knowledge ;;
18455;active knowledge in product model;1;active knowledge in product model;Active Knowledge ;;
18847;active pharmaceutical ingredient (API);1;active pharmaceutical ingredient;;;
18446;active product;1;active product;;;
18617;activity based costing;1;activity based costing;Costing;;
6463;Activity recording;1;activity recording;;;
5451;activity-based costing;1;activity based costing;Costing;;
5452;actor viewpoints;1;actor viewpoint;;;
3977;Actual Production Cost;1;actual production cost;Costing;;
5135;Adaptable Products;1;adaptable product;Adaptive X;;
5903;adaptation;1;adaptation;Adaptive X;;
18751;adaptive product definition;1;adaptive product definition;Adaptive X;;
5453;adaptive product development;1;adaptive product development;Adaptive X;;
18404;adaptive product model;1;adaptive product model;Adaptive X;;
3846;adaptive slicing;1;adaptive slicing;Adaptive X;;
4141;adaptive workflow;1;adaptive workflow;Adaptive X;;
18954;administrative policy;1;administrative policy;;;
19112;advance manufacturing;1;advance manufacturing;;;
18502;advanced configuration management II standard;1;advanced configuration management standard;;;
4272;Advanced product quality planning;1;advanced product quality planning;;;
5205;Aero engines;1;aero engine;;Aerospace Industry;
4152;Aero-engines;1;aero engine;;Aerospace Industry;
4297;aeronautical;1;aeronautical;;Aerospace Industry;
4367;aeronautical final assembly line conceptual design;1;aeronautical final assembly line conceptual design;Aerospace manufacturing;Aerospace Industry;
5457;aerospace industry;5;aerospace industry;;Aerospace Industry;
4397;Aerospace manufacturing;1;aerospace manufacturing;Aerospace manufacturing;Aerospace Industry;
18681;Aerospace Product;1;aerospace product;;Aerospace Industry;
3735;After sales service;1;after sales service;Aftersales;;
4998;After-sales logistics;1;after sales logistics;Aftersales;;remain plural
5458;after-sales service;1;after sales service;Aftersales;;
5459;after-sales strategies;1;after sales strategy;Aftersales;;
4429;Agency;1;agency;;;
3953;agent;2;agent;Agent based X;;
5461;agent academy;1;agent academy;Agent based X;;
4534;agent based simulation modelling;1;agent based simulation modeling;Agent based X;;
5463;agent based system;1;agent based system;Agent based X;;
19072;Agent technology;2;agent technology;Agent based X;;
5464;agent-based systems;6;agent based system;Agent based X;;
18837;Aggregation;1;aggregation;;;
18704;Agile;1;agile;Agile;;
5465;agile design methods;2;agile design method;Agile;;
5467;agile management;1;agile management;Agile;;
18313;Agile manufacturing system;1;agile manufacturing system;Agile;;
4246;agile method;1;agile method;Agile;;
5469;agility;1;agility;Agile;;
18577;agricultural machinery;1;agricultural machinery;;;
4091;AHP;2;analytic hierarchy process ;;;
18631;AHP methodology;2;analytic hierarchy process methodology;;;
3711;AI;2;artificial intelligence;;;
4589;AI-Planning;1;artificial intelligence planning;;;
3713;AIDC;1;automated identification data capture;;;
5471;air pollution;1;air pollution;;;
5473;aircraft components;1;aircraft component;;Aerospace Industry;
5474;aircraft development;1;aircraft development;;Aerospace Industry;
5476;aircraft maintenance;1;aircraft maintenance;;Aerospace Industry;
4590;AIRE;1;AREVA interoperability rich environment;;;
5073;Algorithm- Based;1;algorithm based;;;
19136;algorithms;1;algorithm;;;
5478;alignment;2;alignment;;;
3715;ALM;2;application lifecycle management;;;
4605;Ambidexterity;1;ambidexterity;;;
4630;Ambient Intelligence;3;ambient intelligence;;;
4688;Analogy;1;analogy;;;
4492;analyses;1;analysis;;;
6771;analysis;2;analysis;;;
18992;analysis of product behaviour;1;analysis of product behavior;;;
3709;analysis phase;1;analysis phase;;;
4636;Analytic network process;2;analytic network process;;;
5481;analytical network process;1;analytic network process;;;
3716;ANN;1;artificial neural network;;;
5482;annotation;4;annotation;;;
18388;Annular notched shaft;1;annularly notched shaft;;;
19034;annularly breached bar;1;annularly breached bar;;;
18409;annularly breached spindle;1;annularly breached spindle;;;
3717;ANP;1;analytic network process;;;
5483;anthropometry;1;anthropometry;;;
18629;Anti-fatigue design;2;anti fatigue design;;;
18410;anti-fatigued;1;anti fatigued;;;
19035;anti-fractured design;1;anti fractured design;;;
5870;AP233;1;AP233;Standards;;
18350;API;2;****;;;
5484;apparel industry;1;apparel industry;;;
