0;ontology;2
1;visualization;1
2;modeling;1
3;system engineering;3
4;sustainable manufacturing;1
5;product design;3
6;predictive maintenance;1
7;virtual reality;2
8;new product development;1
9;product lifecycle management;8
10;artificial intelligence;1
11;reverse engineering;1
12;building information management;1
13;FEM;1
14;simulation;1
15;business process management;1
16;lifecycle assessment;1
17;internet of things;1
18;sustainability;2
19;tracking;1
20;additive manufacturing;1
21;knowledge;1
22;model based system engineering ;1
23;metadata;1
24;collaboration platform;1
25;integration;1
26;product complexity;1
27;mechatronic product;1
28;production system;1
29;enterprise information system;1
30;design review;1
31;process;1
32;interoperability;1
33;model based system engineering;1
34;SYSML;1
35;information sharing;1
36;education;1
37;remanufacturing;1
38;product development process;1
39;business model;1
40;maturity model;1
41;data model;1
42;collaboration;1
43;TRIZ;1
44;innovation;1
45;architecture;1
