Id;Label;Timestamp;Count;Time_count
1;building information management;<[2016,2017,2018,2020,2021,2023,2014,2013,2015,]>;22;<[2016,2][2017,2][2018,4][2020,3][2021,2][2023,1][2014,3][2013,3][2015,2]>
2;product lifecycle management;<[2016,2017,2018,2019,2020,2021,2023,2006,2013,2007,2012,2014,2005,2010,2011,2008,2009,2015,]>;327;<[2016,24][2017,26][2018,19][2019,12][2020,24][2021,15][2023,11][2006,11][2013,20][2007,22][2012,24][2014,17][2005,12][2010,24][2011,13][2008,12][2009,17][2015,24]>
3;design method;<[2016,2017,2007,]>;5;<[2016,2][2017,2][2007,1]>
4;product data management;<[2016,2017,2019,2020,2021,2006,2012,2010,2009,2014,2011,2005,2013,2007,2008,2015,]>;30;<[2016,2][2017,1][2019,2][2020,1][2021,1][2006,2][2012,3][2010,4][2009,4][2014,2][2011,1][2005,2][2013,1][2007,2][2008,1][2015,1]>
5;architecture;<[2016,2023,2008,2010,2009,2015,]>;6;<[2016,1][2023,1][2008,1][2010,1][2009,1][2015,1]>
6;product development process;<[2016,2019,2020,2021,2023,2012,2011,2010,2008,2007,2014,]>;13;<[2016,2][2019,1][2020,1][2021,1][2023,1][2012,2][2011,1][2010,1][2008,1][2007,1][2014,1]>
7;lean product development;<[2016,2009,2012,]>;6;<[2016,3][2009,1][2012,2]>
8;system engineering;<[2016,2017,2018,2021,2023,2005,2011,2012,2013,2007,2015,]>;16;<[2016,1][2017,1][2018,1][2021,2][2023,4][2005,1][2011,1][2012,2][2013,1][2007,1][2015,1]>
9;knowledge management;<[2016,2017,2018,2019,2020,2021,2023,2013,2011,2007,2014,2009,2012,2010,2008,2005,2015,]>;47;<[2016,2][2017,1][2018,3][2019,4][2020,2][2021,3][2023,1][2013,9][2011,4][2007,4][2014,3][2009,2][2012,2][2010,1][2008,1][2005,1][2015,4]>
10;cloud;<[2016,2017,2018,]>;5;<[2016,2][2017,1][2018,2]>
11;smart manufacturing;<[2016,2017,2018,2019,2020,2021,]>;9;<[2016,1][2017,1][2018,2][2019,1][2020,2][2021,2]>
12;industry 4.0;<[2016,2017,2018,2019,2020,2021,2023,]>;50;<[2016,2][2017,5][2018,12][2019,11][2020,3][2021,10][2023,7]>
13;interoperability;<[2016,2017,2018,2019,2020,2021,2023,2006,2010,2008,2011,2013,2009,2005,2007,2014,2012,2015,]>;34;<[2016,3][2017,3][2018,1][2019,1][2020,3][2021,1][2023,1][2006,2][2010,2][2008,2][2011,1][2013,3][2009,2][2005,4][2007,2][2014,1][2012,1][2015,1]>
14;collaborative engineering;<[2016,2017,2018,2010,2012,2007,2009,2005,2013,]>;13;<[2016,1][2017,1][2018,2][2010,3][2012,1][2007,1][2009,1][2005,2][2013,1]>
15;platform;<[2016,2017,2018,2019,2021,2023,]>;6;<[2016,1][2017,1][2018,1][2019,1][2021,1][2023,1]>
16;ontology;<[2016,2017,2018,2020,2021,2023,2006,2012,2014,2010,2007,2011,2013,2009,2005,2008,2015,]>;43;<[2016,2][2017,3][2018,6][2020,3][2021,3][2023,2][2006,1][2012,4][2014,1][2010,1][2007,4][2011,2][2013,2][2009,2][2005,3][2008,2][2015,2]>
17;data analytics;<[2016,2017,2020,2021,2015,]>;7;<[2016,3][2017,1][2020,1][2021,1][2015,1]>
18;internet of things;<[2016,2017,2018,2019,2020,2021,2023,2012,2015,]>;25;<[2016,5][2017,5][2018,4][2019,2][2020,2][2021,2][2023,1][2012,1][2015,3]>
19;manufacturing execution system;<[2016,2017,2020,2021,2010,2015,]>;7;<[2016,1][2017,1][2020,1][2021,1][2010,1][2015,2]>
20;big data;<[2016,2018,2015,]>;5;<[2016,3][2018,1][2015,1]>
21;semantic interoperability;<[2016,2017,2018,2019,2008,2009,2005,]>;11;<[2016,2][2017,2][2018,2][2019,2][2008,1][2009,1][2005,1]>
22;decision making;<[2016,2017,2018,2009,2011,2007,2005,2013,]>;8;<[2016,1][2017,1][2018,1][2009,1][2011,1][2007,1][2005,1][2013,1]>
