Source;Target;Type;Weight
0;1;Undirected;1
0;2;Undirected;1
1;2;Undirected;1
3;4;Undirected;1
3;5;Undirected;1
3;6;Undirected;1
3;7;Undirected;1
3;8;Undirected;1
3;9;Undirected;1
4;5;Undirected;1
4;6;Undirected;1
4;7;Undirected;1
4;8;Undirected;1
4;9;Undirected;1
5;6;Undirected;2
5;7;Undirected;1
5;8;Undirected;3
5;9;Undirected;1
6;7;Undirected;3
6;8;Undirected;1
6;9;Undirected;1
7;8;Undirected;1
7;9;Undirected;3
8;9;Undirected;1
10;11;Undirected;1
10;12;Undirected;1
10;13;Undirected;1
11;12;Undirected;1
11;13;Undirected;1
12;13;Undirected;1
14;15;Undirected;1
16;17;Undirected;1
16;18;Undirected;1
17;18;Undirected;1
19;20;Undirected;1
19;21;Undirected;1
20;21;Undirected;1
22;23;Undirected;1
22;24;Undirected;1
22;14;Undirected;1
23;24;Undirected;2
23;14;Undirected;2
24;14;Undirected;1
25;26;Undirected;1
25;27;Undirected;1
26;27;Undirected;1
28;29;Undirected;1
28;30;Undirected;1
28;20;Undirected;2
29;30;Undirected;1
29;20;Undirected;13
30;20;Undirected;1
31;32;Undirected;3
31;33;Undirected;1
31;20;Undirected;3
31;34;Undirected;1
31;35;Undirected;1
31;36;Undirected;2
32;33;Undirected;1
32;20;Undirected;9
32;34;Undirected;1
32;35;Undirected;1
32;36;Undirected;2
33;20;Undirected;1
33;34;Undirected;1
33;35;Undirected;1
33;36;Undirected;1
20;34;Undirected;2
20;35;Undirected;1
20;36;Undirected;5
34;35;Undirected;1
34;36;Undirected;1
35;36;Undirected;1
37;38;Undirected;2
37;16;Undirected;1
37;20;Undirected;5
37;39;Undirected;1
37;40;Undirected;1
37;41;Undirected;1
37;42;Undirected;1
38;16;Undirected;1
38;20;Undirected;2
38;39;Undirected;1
38;40;Undirected;1
38;41;Undirected;1
38;42;Undirected;1
16;20;Undirected;2
16;39;Undirected;1
16;40;Undirected;1
16;41;Undirected;1
16;42;Undirected;1
20;39;Undirected;1
20;40;Undirected;1
20;41;Undirected;1
20;42;Undirected;1
39;40;Undirected;1
39;41;Undirected;1
39;42;Undirected;1
40;41;Undirected;1
40;42;Undirected;1
41;42;Undirected;1
43;44;Undirected;1
43;45;Undirected;1
44;45;Undirected;1
22;46;Undirected;2
22;32;Undirected;2
22;47;Undirected;1
22;48;Undirected;2
46;32;Undirected;1
46;47;Undirected;1
46;48;Undirected;2
32;47;Undirected;1
32;48;Undirected;1
47;48;Undirected;1
49;29;Undirected;2
49;50;Undirected;1
49;51;Undirected;1
29;50;Undirected;1
29;51;Undirected;2
50;51;Undirected;1
22;52;Undirected;1
22;20;Undirected;3
22;53;Undirected;1
22;54;Undirected;1
52;20;Undirected;1
52;53;Undirected;1
52;54;Undirected;1
20;53;Undirected;1
20;54;Undirected;3
53;54;Undirected;1
55;56;Undirected;1
55;20;Undirected;4
56;20;Undirected;1
57;58;Undirected;1
57;59;Undirected;1
57;60;Undirected;1
58;59;Undirected;1
58;60;Undirected;1
59;60;Undirected;1
61;62;Undirected;1
61;24;Undirected;1
61;63;Undirected;1
61;64;Undirected;1
61;65;Undirected;1
61;66;Undirected;1
62;24;Undirected;1
62;63;Undirected;1
62;64;Undirected;1
62;65;Undirected;1
62;66;Undirected;1
24;63;Undirected;1
24;64;Undirected;1
24;65;Undirected;1
24;66;Undirected;1
63;64;Undirected;1
63;65;Undirected;1
63;66;Undirected;1
64;65;Undirected;1
64;66;Undirected;1
65;66;Undirected;1
32;67;Undirected;1
32;68;Undirected;1
32;69;Undirected;1
67;68;Undirected;1
67;69;Undirected;1
68;69;Undirected;1
70;71;Undirected;1
70;72;Undirected;1
70;45;Undirected;1
70;73;Undirected;1
71;72;Undirected;1
71;45;Undirected;1
71;73;Undirected;1
72;45;Undirected;1
72;73;Undirected;1
45;73;Undirected;1
74;75;Undirected;1
74;76;Undirected;1
