keyword;count
ecosystem;5
coevolution;4
impact analysis;1
research method;1
product design;19
design method;5
business process modeling;4
mobile device feature;1
product development;32
variant rule;1
part usage;1
multidimensional data;1
graph;4
processing integration;1
biomedical;1
product development value stream mapping;1
modular approach;1
metallurgical equipment development;1
engineering education;4
internal combustion engines;1
machining;2
fashion industry;3
open application group integration specification;1
product lifecycle support;4
reference data library;1
core components;1
information modeling;3
value definition;1
industrial survey;2
characteristics and technologies;1
smart factory;2
intelligent manufacturing;2
core product model;2
mobile manipulator;1
ASTM F45;1
artifacts;1
ground truth;1
modularity;2
production capabilities;1
safety engineering;1
integrated design;2
product lifecycle management challenges;1
variant design;1
liaison;2
knowledge based framework;1
meta model;3
neural network;2
manufacturing process;1
predictive modeling;1
product lifecycle management process;2
multi party interaction;1
visioneering workshop facilitation;1
lean manufacturing;3
enterprise collaboration;1
opportunity analysis;1
capability evaluation;1
data asset;1
closed loop product lifecycle;1
CRISP-DM;1
product usage data;2
standardization;2
transdisciplinary engineering;1
formal model;2
model driven ontology;1
product lifecycle management concept;1
progressive user centred approach;1
collaborative design process;1
process mining;3
supervised classification;1
complex system;2
interface model;1
multidisciplinary integration;2
agile;2
project planning;2
problem definition;1
idea generation;1
big data analytics;1
intralogistics systems;1
cost effectiveness;1
planning;2
non availability;1
investment decision;1
deep learning;3
automatic synthesis;1
assembly feature;1
automatic identification system;1
middle of life;4
marine industry;1
social network;2
virtual twin;3
return on investment;2
value;4
grounded theory;1
simulation data management ;1
service lifecycle management;3
construction;1
modular;1
supplier selection;2
frugal innovation;1
bibliometric analysis;1
review;2
mapping study;1
trend;2
overview;1
dynamic manufacturing network;1
mediator;1
inventory control;2
error generation;1
inventory record inaccuracy;1
system dynamic;2
new food development;3
product lifecycle management for the food industry;2
cyber manufacturing system;1
cloud manufacturing;1
modeling and simulation;2
railway wheel profile;1
computer numerical control lathe remanufacturing;1
rolling surface reshaping;1
wheelset;1
mechatronic design process;1
parameter database;1
geographical information system;4
regionalization;1
spatio temporal network;1
product lifecycle mapping;1
global manufacturing;1
handle of elevator design;1
finite element analysis;3
stereolithography process;1
attenuated total reflection spectrum;1
natural language text;2
issues in assembly;1
sentiment analysis;2
diverse members;1
scope coordination;1
lazy evaluation;1
SATISFICING;1
aircraft ontology;1
A320 aircraft;1
parts of speech tagging;1
building lifecycle management;4
quality function deployment;4
product supply chain;1
modeling;3
software as a service;2
reconfiguration;3
automated compliance audit processes;1
computable legal knowledge;1
sensor data;1
field data;1
empty space modelling;1
spatial conflict;2
survey;2
context;1
assemblability factors;1
module independence;2
product lifecycle management for food and fashion;1
food and fashion;1
medical device development;1
workshop facilitation;3
industry university collaboration;1
educational and training approach;1
product lifecycle management customizing;2
customizing process;1
product lifecycle management in industry;1
petri net;1
product feature;1
internet of everything;3
digital economy;1
internet of everything platform;1
high performance computing;1
product usage information;2
hydro dynamic simulations;1
cultural heritage;2
3D modeling;2
semantic enrichment;1
CEPROQHA project;1
LEGO;1
Arduino;1
elaboration model;1
sustainable design;1
environmental lifecycle assessment;1
ECLCA;1
fuzzy analytic network process;1
NFD process performances;1
railway infrastructure;1
RAILTOPOMODEL;1
RAILML;1
product and process maturity;1
benevolent production system;1
benevolent system;1
true lean;2
TOYOTA production system;2
6R concept;1
decision mining;2
manufacturing;11
product lifecycle management tool;4
case based reasoning;3
machining part;1
case study mapping;1
organizational change;1
tool complexity;1
productivity;3
modularization;3
product configurator;2
Flexible best fit;1
flexible assembly;1
tolerancing;1
ArchiMate;2
formal definition;1
transformation;1
evolving product;1
skeleton based design;1
cybertronic systems;1
assembly;2
supply chain management new product development alignment;1
impact;2
product lifecycle management process management;1
manual assembly;1
analysis framework;1
product service system design;2
management;2
architecture engineering and construction;2
replace;1
aeronautical industry;1
flexible job shop with operators;1
license models;1
online trading;1
technology data;1
usage control;1
uncertainty;5
criticality;1
customervoriented view;1
strategy;2
interaction system;1
commercial product lifecycle management software;1
MEMORAE;1
automotive supply chain;1
product service system lean design methodology;1
product service system engineering environment;1
openness;2
manufacturer capabilities;1
ISO 10303;3
EXPRESS G;1
functional system model;1
behavioral system model;1
space systems;1
concurrent data exchange;1
facility management;4
shipbuilding;3
key performance indicator;3
big data analysis;1
learning factory;3
computational design;2
visual recognition;1
machine vision;1
models for manufacturing;7
single point incremental forming;1
facility layout problem;1
facilities planning and design;1
optimal facility layout;1
hybrid facility;1
discrete event simulation;2
through life information management;1
prototyping;2
traceability and performance;1
content management;2
ideation;2
creativity;3
optimization;5
small unmanned aerial vehicle;1
redesign;1
dependency model;1
causal;3
bayesian network;1
developing countries;1
the building industry;1
agent based simulation modeling;2
civil aircraft maintenance;1
six sigma;1
efficiency improvement;1
product development and manufacturing;1
reference ontology;2
competence mapping;1
coword analysis;1
interactive design;1
legacy users;1
toolbox;2
toolkit;1
product design and manufacturing;2
evaluation method;1
real time simulation;1
vendor managed inventory;1
demand forecast;1
end of life;6
pay per use;3
smartification;1
nuclear decommissioning;1
vessel design;1
maritime design;1
cascade use;1
reuse;5
remanufacturing;4
personalization;1
indoor health parameters;1
office building;1
worker preference;1
additive manufacturing technology;2
push button;1
multicriteria decision making and analysis;1
linkography;1
analysis tools;1
patient specific device;1
product lifecycle management model;1
product lifecycle management adaptation;2
product lifecycle management realization;1
product lifecycle management change management;1
predictive maintenance;4
installed base;1
product service system development;1
servitization;4
humidifiers industry;1
sustainability;23
early design stages;1
digitization;1
supply chain performance;1
unitary traceability;1
disruption management;1
reactivity;1
product lifecycle management competence;1
product lifecycle management job offers;1
TF_IDF;2
clustering;1
university industry collaboration;1
performing arts;1
cultural and creative industries;1
mockup;1
entity classification;1
calibration;1
concept map;1
analytics;1
geometric parameter;1
coalition;2
robot;2
self assessment tool;1
craftsmanship;1
switching costs;1
lockin;1
graphical user interface monitoring;1
3 layer model;3
communities of practice;2
mixed methodology;1
mult iaspect ontology;1
behaviour;2
function;3
satellite;1
nanosatellite;1
behavioural model;1
product instance data management;1
product improvement;2
product recovery;3
disassembly;4
prescriptive analytics;1
jet engine simulation;1
context awareness;2
cognitive assistant;2
lean;3
file formats;1
feedback data;1
communication;4
OPC UA;1
MQTT;1
assessment method;1
readiness model;1
DREAMY;1
CLIMB;1
MYWASTE;1
HOLOLENS;1
tactile displays;1
operator training;1
usability;4
fuzzy logic;2
coalition game;1
nonownership business model;2
capital goods;1
automation system;1
tacit knowledge codification;1
explicit knowledge;1
content analysis;1
one of a kind Production;1
lifecycle simulation;3
deterioration;1
uncertainty representation;1
comparison framework;1
coverage and spread ratios;1
structural complexity management;2
prototype;1
stiffness;1
elastic modulus;1
cloud storage;1
communication protocol;1
motion structural simulation;1
testbed;1
variety;2
genetic algorithm;1
product family;3
retail 4.0;1
product lifecycle management strategy planning;1
octrees;1
voxelization;1
childrenswear;1
safety standard;1
carbon footprint;3
powertrain;1
constraint management;1
robotic task planning;1
continuous improvement;2
sketching;1
concept lifecycle;1
fundamental objectives;1
comparison;3
comparative analysis;1
cross pollination;1
ecoefficiency;1
aerospace;2
cobots;2
SWOT analyses;1
ethics;1
regulation;1
cluster;1
proactive obsolescence management;1
WEIBULL;1
initial analysis;1
inventive design;1
problem graph;1
root contradiction analysis;1
root causes analysis;1
ontology for product process modelling;1
stakeholder scenario;1
linked building data;1
linked engineering data;1
line design;1
automatic detection;1
human activity;1
eating detection;1
neurodegenerative disorders;1
assistive technology;1
rapid sales growth;1
profitability;1
query system;1
distributed scheduling;1
cellular assembly;1
application;1
case study research;1
structured literature review;1
concept evaluation;1
balanced scorecard;1
DEMATEL;2
gaze following;1
gaze direction;1
artificial neural network;4
maturity;4
model;2
product;1
alignment;2
matching;1
heterogeneous;1
;1
factory communication;1
wireless;1
testbed design;1
change;1
capability analysis;1
benchmark;4
RAMI 4.0;1
group clustering;1
startup;1
startup lifecycle;1
innovation ecosystems;1
exchange;2
synchronization;3
disparate systems;1
continuous engineering;1
connected automation;1
fashion;3
functionality;1
workfloor;1
dashboard;2
partial least squares;1
integration manufacturing;1
obsolescence;2
obsolescence management;1
automotive;3
product manufacturing information;1
free text analysis;1
