Id;Label;Timestamp;Count;Time_count
0;building information management;<[2016,2017,2018,2020,2021,2023,2014,2013,2015,]>;22;<[2016,2][2017,2][2018,4][2020,3][2021,2][2023,1][2014,3][2013,3][2015,2]>
1;ecosystem;<[2016,2017,2018,2020,2021,]>;5;<[2016,1][2017,1][2018,1][2020,1][2021,1]>
2;coevolution;<[2016,2017,]>;4;<[2016,3][2017,1]>
3;impact analysis;<[2016,]>;1;<[2016,1]>
4;research method;<[2016,]>;1;<[2016,1]>
5;product lifecycle management;<[2016,2017,2018,2019,2020,2021,2023,2006,2013,2007,2012,2014,2005,2010,2011,2008,2009,2015,]>;327;<[2016,24][2017,26][2018,19][2019,12][2020,24][2021,15][2023,11][2006,11][2013,20][2007,22][2012,24][2014,17][2005,12][2010,24][2011,13][2008,12][2009,17][2015,24]>
6;product design;<[2016,2019,2020,2021,2023,2006,2011,2009,2013,2005,2007,2015,]>;18;<[2016,1][2019,1][2020,1][2021,4][2023,3][2006,1][2011,1][2009,2][2013,1][2005,1][2007,1][2015,1]>
7;ergonomic;<[2016,2019,2020,2013,]>;4;<[2016,1][2019,1][2020,1][2013,1]>
8;design method;<[2016,2017,2007,]>;5;<[2016,2][2017,2][2007,1]>
9;business process modeling;<[2016,2009,2013,]>;4;<[2016,1][2009,2][2013,1]>
10;product data management;<[2016,2017,2019,2020,2021,2006,2012,2010,2009,2014,2011,2005,2013,2007,2008,2015,]>;30;<[2016,2][2017,1][2019,2][2020,1][2021,1][2006,2][2012,3][2010,4][2009,4][2014,2][2011,1][2005,2][2013,1][2007,2][2008,1][2015,1]>
11;mobile device feature;<[2016,]>;1;<[2016,1]>
12;architecture;<[2016,2023,2008,2010,2009,2015,]>;6;<[2016,1][2023,1][2008,1][2010,1][2009,1][2015,1]>
13;product development;<[2016,2017,2018,2020,2021,2023,2008,2012,2009,2011,2014,2007,2010,2005,2015,]>;30;<[2016,1][2017,4][2018,1][2020,1][2021,4][2023,1][2008,1][2012,4][2009,1][2011,1][2014,1][2007,4][2010,1][2005,1][2015,4]>
