Source;Target;Type;Weight
0;1;Undirected;1
0;2;Undirected;1
0;3;Undirected;1
0;4;Undirected;1
1;2;Undirected;1
1;3;Undirected;1
1;4;Undirected;1
2;3;Undirected;1
2;4;Undirected;1
3;4;Undirected;1
5;6;Undirected;2
5;7;Undirected;2
5;8;Undirected;1
5;9;Undirected;3
6;7;Undirected;1
6;8;Undirected;1
6;9;Undirected;1
7;8;Undirected;1
7;9;Undirected;1
8;9;Undirected;1
10;11;Undirected;1
10;12;Undirected;2
10;13;Undirected;3
11;12;Undirected;1
11;13;Undirected;1
12;13;Undirected;2
14;5;Undirected;6
14;10;Undirected;4
14;15;Undirected;1
14;16;Undirected;1
5;10;Undirected;16
5;15;Undirected;1
5;16;Undirected;1
10;15;Undirected;1
10;16;Undirected;1
15;16;Undirected;1
17;18;Undirected;1
17;19;Undirected;1
17;20;Undirected;1
17;21;Undirected;1
17;5;Undirected;3
18;19;Undirected;1
18;20;Undirected;1
18;21;Undirected;1
18;5;Undirected;1
19;20;Undirected;1
19;21;Undirected;1
19;5;Undirected;1
20;21;Undirected;1
20;5;Undirected;1
21;5;Undirected;1
22;23;Undirected;1
22;24;Undirected;1
22;25;Undirected;1
22;26;Undirected;1
23;24;Undirected;1
23;25;Undirected;1
23;26;Undirected;1
24;25;Undirected;1
24;26;Undirected;1
25;26;Undirected;1
27;28;Undirected;1
27;29;Undirected;1
28;29;Undirected;1
30;31;Undirected;1
30;5;Undirected;1
31;5;Undirected;4
32;14;Undirected;1
32;5;Undirected;5
32;33;Undirected;1
14;33;Undirected;1
5;33;Undirected;4
34;35;Undirected;1
34;36;Undirected;1
34;37;Undirected;1
34;38;Undirected;1
35;36;Undirected;1
35;37;Undirected;1
35;38;Undirected;1
36;37;Undirected;1
36;38;Undirected;1
37;38;Undirected;1
22;5;Undirected;2
22;39;Undirected;1
22;40;Undirected;1
22;41;Undirected;1
5;39;Undirected;1
5;40;Undirected;1
5;41;Undirected;1
39;40;Undirected;1
39;41;Undirected;1
40;41;Undirected;1
42;43;Undirected;1
42;44;Undirected;6
42;45;Undirected;1
42;46;Undirected;2
43;44;Undirected;1
43;45;Undirected;1
43;46;Undirected;1
44;45;Undirected;2
44;46;Undirected;2
45;46;Undirected;1
31;47;Undirected;1
31;48;Undirected;1
5;47;Undirected;1
5;48;Undirected;1
47;48;Undirected;2
49;32;Undirected;1
49;50;Undirected;1
49;51;Undirected;1
49;52;Undirected;1
32;50;Undirected;1
32;51;Undirected;1
32;52;Undirected;1
50;51;Undirected;1
50;52;Undirected;1
51;52;Undirected;1
53;2;Undirected;1
53;54;Undirected;1
53;55;Undirected;1
2;54;Undirected;1
2;55;Undirected;1
54;55;Undirected;1
22;56;Undirected;1
22;57;Undirected;1
22;58;Undirected;1
56;57;Undirected;1
56;58;Undirected;1
56;5;Undirected;1
57;58;Undirected;1
57;5;Undirected;1
58;5;Undirected;5
59;44;Undirected;2
59;60;Undirected;3
59;5;Undirected;2
59;61;Undirected;1
44;60;Undirected;3
44;5;Undirected;14
44;61;Undirected;1
60;5;Undirected;2
60;61;Undirected;1
5;61;Undirected;1
62;63;Undirected;1
62;64;Undirected;1
62;65;Undirected;1
63;64;Undirected;1
63;65;Undirected;1
64;65;Undirected;1
66;67;Undirected;1
66;68;Undirected;1
66;69;Undirected;1
66;70;Undirected;1
67;68;Undirected;1
67;69;Undirected;1
67;70;Undirected;1
68;69;Undirected;1
68;70;Undirected;1
69;70;Undirected;1
71;72;Undirected;1
71;73;Undirected;1
71;74;Undirected;1
71;75;Undirected;1
72;73;Undirected;1
72;74;Undirected;1
72;75;Undirected;1
73;74;Undirected;1
73;75;Undirected;1
74;75;Undirected;1
76;77;Undirected;1
76;78;Undirected;1
77;78;Undirected;1
79;80;Undirected;1
79;81;Undirected;1
79;82;Undirected;1
79;83;Undirected;1
80;81;Undirected;1
80;82;Undirected;1
80;83;Undirected;1
